x y
12 8.087
39 29.463
39 26.992
28 16.541
31 18.237
28 18.074
39 28.195
35 26.125
79 87.16
81 89.585
12 5.585
16 7.686
93 114.585
32 20.393
62 60.297
47 33.7
67 69.648
62 57.102
66 64.19
69 70.713
94 117.498
68 68.346
33 25.118
96 117.94
21 10.294
30 16.292
81 90.675
90 110.152
90 109.039
18 6.586
82 96.735
78 84.602
88 107.429
33 19.818
31 16.842
41 28.215
27 17.28
78 88.843
98 125.042
33 21.841
77 78.423
65 58.661
91 111.31
82 89.549
51 42.464
12 8.416
78 85.596
55 46.041
93 117.264
53 41.822
64 64.569
71 76.528
59 56.304
72 75.244
12 4.733
15 6.784
69 69.422
26 14.399
48 39.15
21 12.577
78 84.246
49 37.224
46 34.926
70 70.5
69 68.462
