Y,X
160,1
4030,1
5400,1
410,0
1000,1
300,0
230,0
1900,1
4400,1
1050,1
6900,0
380,0
58000,1
1100,0
60,1
4200,0
105000,1
5000,0
800,1
2900,1
840,1
2300,0
1900,1
3100,1
280,0
2300,0
220,1
430,1
185000,1
960,0
2800,0
1100,1
290,1
1350,0
1200,1
2000,1
4300,1
180,1
1500,1
760,0
300,0
14000,1
1100,1
42000,1
350,0
400,1
470,0
3600,1
840,0
3300,1
920,0
160,0
2300,1
3500,1
580,1
760,0
1700,1
410,1
230,1
4100,1
16000,1
480,1
190,0
2700,0
4300,1
19000,1
450,1
480,1
2700,1
1400,1
60000,1
1100,0
129000,1
610,1
3100,1
1200,0
286000,0
360,1
2100,0
7800,0
12000,1
2500,0
1600,1
2900,0
2540,1
1800,0
118000,1
450,1
2200,0
8300,0
2600,1
2300,1
480,0
94000,1
7700,1
1320,1
90,0
16000,1
460,0
50,0
2300,0
3500,0
430,0
110,0
500,0
500,0
300,0
21070,1
100,1
11000,1
760,0
1300,0
8800,0
3500,1
1430,1
47000,1
260,0
4600,1
50,1
9300,0
2300,0
710,1
690,1
430,0
1000,0
140,1
92000,1
210,0
1300,1
250,0
870,0
160,0
650,1
6100,1
230,1
460,0
320,0
6200,0
850,0
300,0
550,0
38000,1
330,0
200,0
490,0
397000,1
8300,1
380,0
4300,1
830,0
76000,1
700,1
260,1
2600,0
120,0
140,1
280,0
310,0
2751,1
290,0
2800,0
2125,1
3700,1
400,0
730,0
250000,1
480,1
80,0
420,0
2900,1
510,1
2600,1
930,0
400,0
90000,1
1100,0
990,0
250,0
500,0
610,1
50,1
690,0
4900,1
1900,1
3200,1
18000,1
11000,0
11000,1
760,1
160,0
6000,1
1200,1
1700,1
7400,1
1400,1
1700,1
31000,1
8800,1
110,1
2000,1
0.65,0
860,1
0.86,0
360,1
0.77,0
2100,1
251000,0
12000,1
1900,1
460,0
3400,1
0.99,0
11000,1
1700,1
440,1
590,0
20000,1
248000,1
2500,0
1000,0
200,0
8900,1
196000,0
11000,0
630,0
15000,1
960,0
