x,y
0.01428571,4.23240567
0.02857143,-2.08016124
0.04285714,4.62298286
0.05714286,0.04024707
0.07142857,1.26926199
0.08571429,2.28209809
0.10000000,2.39446161
0.11428571,0.51444317
0.12857143,0.65178806
0.14285714,0.33089835
0.15714286,-0.89929055
0.17142857,-1.41249628
0.18571429,-2.09014002
0.20000000,-2.26343008
0.21428571,-4.02951208
0.22857143,-2.55156808
0.24285714,-2.21008058
0.25714286,-0.53972606
0.27142857,-0.99630689
0.28571429,-0.66912580
0.30000000,-0.56664192
0.31428571,1.65961783
0.32857143,2.89589735
0.34285714,3.29221267
0.35714286,2.25545394
0.37142857,5.12833706
0.38571429,3.70286264
0.40000000,6.38105302
0.41428571,7.58078398
0.42857143,3.74358039
0.44285714,8.52331368
0.45714286,8.43436100
0.47142857,7.72538353
0.48571429,7.38421716
0.50000000,6.32804332
0.51428571,7.35372419
0.52857143,5.51858664
0.54285714,5.84316983
0.55714286,3.89400133
0.57142857,4.82976217
0.58571429,3.82647082
0.60000000,1.87417064
0.61428571,0.29361678
0.62857143,2.54472909
0.64285714,2.12624154
0.65714286,1.52286439
0.67142857,2.18517811
0.68571429,1.52443762
0.70000000,1.72910157
0.71428571,1.93644776
0.72857143,3.95524790
0.74285714,3.02212535
0.75714286,3.59829760
0.77142857,6.09630976
0.78571429,6.67685567
0.80000000,6.57240032
0.81428571,4.59917607
0.82857143,8.38163890
0.84285714,10.45057294
0.85714286,9.37688590
0.87142857,10.37662294
0.88571429,10.70191944
0.90000000,10.15916268
0.91428571,11.45653323
0.92857143,11.67562084
0.94285714,11.28558671
0.95714286,11.21943252
0.97142857,9.28735706
0.98571429,9.79636083
1.00000000,7.02822294
